Flight Number,Origin of Flight,Origin Time,Arrival Time,Airlines
G8 - 465,Mumbai,12:10,14:20,GoAir
6E - 985,Coimbatore,11:25,14:25,IndiGo
AI - 492,Jaipur,13:30,14:25,Air India
6E - 6488,Kolkata,12:00,14:25,IndiGo
UL - 3600,Jaipur,13:30,14:25,SriLankan Airlines
ET - 1768,Jaipur,13:30,14:25,Ethiopian Airlines
G8 - 120,Bengaluru,11:40,14:30,GoAir
SG - 90,Bangkok,11:10,14:30,SpiceJet
SG - 8476,Gorakhpur,13:25,14:30,SpiceJet
AI - 486,Port Blair,10:50,14:35,Air India
UL - 3616,Patna,12:50,14:35,SriLankan Airlines
AI - 410,Patna,12:50,14:35,Air India
6E - 1836,Abu Dhabi,09:20,14:40,IndiGo
SG - 8212,Goa,12:05,14:40,SpiceJet
6E - 2646,Bagdogra,12:30,14:45,IndiGo
6E - 134,Nagpur,13:00,14:45,IndiGo
EK - 516,Dubai,09:30,14:50,Emirates
SG - 161,Jammu,13:25,14:55,SpiceJet
I5* - 768,Bagdogra,12:45,14:55,AirAsia India
G8 - 269,Lucknow,13:40,14:55,GoAir
AI - 9714,Dharamsala,13:05,15:00,Air India
6E - 168,Mumbai,12:50,15:00,IndiGo
SQ - 4722,Goa,12:25,15:00,Singapore Airlines
UK* - 856,Goa,12:25,15:00,Vistara
CD - 714,Dharamsala,13:05,15:00,Alliance Air
6E - 653,Jammu,13:35,15:05,IndiGo
I5* - 315,Mumbai,12:55,15:05,AirAsia India
CD - 816,Pantnagar,14:10,15:10,Alliance Air
AI - 412,Lucknow,14:05,15:10,Air India
6E - 755,Dehra Dun,14:15,15:10,IndiGo
AI - 9816,Pantnagar,14:10,15:10,Air India
AI - 677,Mumbai,13:00,15:15,Air India
UK* - 644,Srinagar,13:45,15:20,Vistara
UK* - 788,Bhubaneswar,12:55,15:25,Vistara
G8 - 2512,Patna,13:50,15:25,GoAir
I5* - 784,Guwahati,12:50,15:30,AirAsia India
AI - 418,Ranchi,13:25,15:30,Air India
6E - 2065,Surat Gujarat,13:40,15:30,IndiGo
6E - 6616,Kolkata,13:05,15:35,IndiGo
I5* - 713,Srinagar,14:00,15:35,AirAsia India
EY - 210,Abu Dhabi,09:55,15:35,Etihad Airways
6E - 2315,Udaipur,14:10,15:35,IndiGo
6E - 2246,Bengaluru,13:00,15:50,IndiGo
6E - 616,Ahmedabad,14:20,15:55,IndiGo
6E - 176,Mumbai,13:40,15:55,IndiGo
HY - 423,Amritsar,15:10,15:55,Uzbekistan Airways
SG - 8732,Adampur,14:45,16:00,SpiceJet
6E - 6052,Thiruvananthapuram,12:40,16:05,IndiGo
AI - 501,Bengaluru,13:20,16:10,Air India
AI - 102,New York,15:30,16:15,Air India
SG - 106,Chennai,13:20,16:15,SpiceJet
G8 - 196,Jammu,14:50,16:15,GoAir
AI - 880,Bagdogra,13:50,16:15,Air India
6E - 191,Patna,14:30,16:20,IndiGo
CD - 838,Ludhiana,15:05,16:20,Alliance Air
AI - 476,Jodhpur,14:55,16:20,Air India
AI - 76,Bhubaneswar,13:50,16:20,Air India
UL - 3622,Bhubaneswar,13:50,16:20,SriLankan Airlines
6E - 32,Kathmandu,14:45,16:20,IndiGo
6E - 6906,Guwahati,13:45,16:25,IndiGo
G8 - 229,Patna,14:40,16:25,GoAir
6E - 436,Ranchi,14:25,16:25,IndiGo
6E - 306,Lucknow,15:10,16:30,IndiGo
AI - 472,Udaipur,15:10,16:30,Air India
K4 - 253,Leipzig/Halle,04:15,16:30,Kalitta Air
UK* - 726,Bagdogra,14:10,16:30,Vistara
UK* - 707,Amritsar,15:20,16:35,Vistara
6E - 2694,Srinagar,15:05,16:35,IndiGo
6E - 2021,Kolkata,14:20,16:35,IndiGo
BA - 5828,Amritsar,15:20,16:35,British Airways
AI - 843,Goa,14:10,16:35,Air India
ET - 1775,Goa,14:10,16:35,Ethiopian Airlines
SQ - 4727,Amritsar,15:20,16:35,Singapore Airlines
SQ - 4789,Lucknow,15:25,16:40,Singapore Airlines
UK* - 997,Lucknow,15:25,16:40,Vistara
6E - 6448,Mumbai,14:30,16:45,IndiGo
6E - 2204,Raipur,14:50,16:45,IndiGo
UK* - 879,Chandigarh,15:20,16:45,Vistara
BA - 5882,Chandigarh,15:20,16:45,British Airways
UL - 3339,Tokyo,11:40,16:45,SriLankan Airlines
JL - 749,Tokyo,11:40,16:45,JAL
6E - 332,Goa,14:10,16:50,IndiGo
AI - 216,Kathmandu,15:35,16:50,Air India
G8 - 102,Kolkata,14:20,16:50,GoAir
SQ - 4765,Varanasi,15:20,16:55,Singapore Airlines
UK* - 813,Jammu,15:30,16:55,Vistara
UK* - 955,Varanasi,15:20,16:55,Vistara
UK* - 944,Mumbai,14:40,16:55,Vistara
SQ - 4736,Mumbai,14:40,16:55,Singapore Airlines
BG - 97,Dhaka,15:00,17:00,Biman Bangladesh Airlines
AI - 307,Tokyo,11:15,17:00,Air India
AC - 6399,Tokyo,11:15,17:00,Air Canada
SG - 8722,Patna,15:10,17:00,SpiceJet
IX - 11,Madurai,13:45,17:00,Air India Express
SG - 8562,Coimbatore,13:45,17:00,SpiceJet
AI - 9016,Madurai,13:45,17:00,Air India
SQ - 4752,Goa,14:25,17:05,Singapore Airlines
UL - 3613,Varanasi,15:30,17:05,SriLankan Airlines
AI - 433,Varanasi,15:30,17:05,Air India
UK* - 848,Goa,14:25,17:05,Vistara
BA - 5870,Goa,14:25,17:05,British Airways
AI - 309,Melbourne,08:45,17:10,Air India
ET - 1081,Melbourne,08:45,17:10,Ethiopian Airlines
6E - 6468,Hyderabad,14:45,17:10,IndiGo
UK* - 612,Srinagar,15:20,17:10,Vistara
I5* - 781,Guwahati,14:10,17:10,AirAsia India
AI - 822,Jammu,15:45,17:15,Air India
SG - 8172,Goa,14:35,17:15,SpiceJet
6E - 2978,Imphal,14:30,17:20,IndiGo
G8 - 149,Srinagar,15:45,17:20,GoAir
UK* - 969,Guwahati,14:45,17:25,Vistara
SQ - 4745,Guwahati,14:45,17:25,Singapore Airlines
6E - 417,Kolkata,15:00,17:25,IndiGo
6E - 6097,Mumbai,15:15,17:30,IndiGo
SG - 8969,Jharsuguda,15:40,17:35,SpiceJet
SG - 253,Srinagar,16:05,17:35,SpiceJet
SG - 2194,Dharamsala,16:10,17:35,SpiceJet
6E - 535,Jammu,16:10,17:35,IndiGo
AI - 408,Patna,16:00,17:40,Air India
G8 - 851,Bagdogra,15:25,17:40,GoAir
G8 - 171,Jammu,16:05,17:40,GoAir
CD - 810,Gorakhpur,15:45,17:45,Alliance Air
AI - 9810,Gorakhpur,15:45,17:45,Air India
I5* - 776,Goa,15:00,17:45,AirAsia India
JL - 5735,Colombo,14:10,17:45,JAL
UL - 195,Colombo,14:10,17:45,SriLankan Airlines
AZ - 5604,Colombo,14:10,17:45,Alitalia
CX - 41,Hong Kong,14:35,17:50,Cathay Pacific
SG - 8718,Bengaluru,15:05,17:55,SpiceJet
G9 - 465,Sharjah,13:10,17:55,Air Arabia
G8 - 132,Patna,16:10,17:55,GoAir
6E - 2512,Vadodara,16:20,17:55,IndiGo
SQ - 4730,Mumbai,15:45,18:00,Singapore Airlines
JL - 5184,Mumbai,15:45,18:00,JAL
BA - 5850,Mumbai,15:45,18:00,British Airways
UK* - 902,Mumbai,15:45,18:00,Vistara
6E - 637,Goa,15:20,18:00,IndiGo
IX - 142,Dubai,12:50,18:00,Air India Express
JL - 5184,Mumbai,15:45,18:00,JAL
UK* - 902,Mumbai,15:45,18:00,Vistara
6E - 637,Goa,15:20,18:00,IndiGo
BA - 5850,Mumbai,15:45,18:00,British Airways
SQ - 4730,Mumbai,15:45,18:00,Singapore Airlines
IX - 142,Dubai,12:50,18:00,Air India Express
SG - 125,Bagdogra,15:50,18:05,SpiceJet
KE - 481,Seoul,13:00,18:05,Korean Air
DL - 9028,Seoul,13:00,18:05,Delta Air Lines
6E - 792,Patna,16:20,18:10,IndiGo
6E - 2698,Chennai,15:35,18:10,IndiGo
G8 - 153,Guwahati,15:30,18:15,GoAir
I5* - 747,Srinagar,16:45,18:15,AirAsia India
6E - 6646,Guwahati,15:35,18:20,IndiGo
AI - 687,Mumbai,16:00,18:20,Air India
SG - 942,Shirdi,16:25,18:25,SpiceJet
SV - 758,Jeddah,10:45,18:25,Saudia
AI - 405,Varanasi,16:50,18:30,Air India
AI - 174,San Francisco,11:30,18:30,Air India
AI - 541,Hyderabad,16:15,18:30,Air India
G8 - 2518,Kochi,15:25,18:30,GoAir
6E - 6409,Indore,16:55,18:35,IndiGo
G8 - 758,Bagdogra,16:20,18:35,GoAir
AI - 890,Guwahati,15:50,18:40,Air India
SG - 2642,Jabalpur,16:30,18:40,SpiceJet
6E - 2046,Ranchi,16:30,18:40,IndiGo
6E - 174,Mumbai,16:20,18:40,IndiGo
AI - 426,Kannur,15:30,18:45,Air India
6E - 6685,Vijayawada,16:05,18:45,IndiGo
6E - 2197,Srinagar,17:05,18:50,IndiGo
SG - 8956,Srinagar,17:20,18:50,SpiceJet
AI - 104,Dulles,17:55,18:50,Air India
I5* - 549,Ranchi,16:50,18:55,AirAsia India
6E - 963,Dehra Dun,18:10,19:00,IndiGo
G8 - 134,Patna,17:20,19:05,GoAir
SG - 169,Guwahati,16:15,19:05,SpiceJet
6E - 2616,Bhubaneswar,16:35,19:05,IndiGo
UK* - 819,Lucknow,18:00,19:10,Vistara
AI - 442,Aurangabad,17:20,19:10,Air India
AI - 144,Mumbai,17:00,19:10,Air India
G8 - 335,Srinagar,17:45,19:20,GoAir
6E - 206,Kolkata,16:50,19:20,IndiGo
I5* - 757,Bagdogra,17:10,19:20,AirAsia India
I5* - 799,Goa,16:35,19:20,AirAsia India
6E - 162,Ahmedabad,17:40,19:25,IndiGo
SG - 6704,Mumbai,17:15,19:25,SpiceJet
JL - 5284,Kolkata,17:00,19:30,JAL
AI - 9604,Allahabad,17:30,19:30,Air India
CD - 604,Allahabad,17:30,19:30,Alliance Air
MI - 5202,Kolkata,17:00,19:30,SilkAir
UK* - 778,Kolkata,17:00,19:30,Vistara
SQ - 4706,Kolkata,17:00,19:30,Singapore Airlines
BA - 5860,Kolkata,17:00,19:30,British Airways
AI - 456,Nanded,17:45,19:35,Air India
ET - 1083,Sydney,10:45,19:35,Ethiopian Airlines
6E - 508,Patna,17:50,19:35,IndiGo
AI - 301,Sydney,10:45,19:35,Air India
EY - 224,Abu Dhabi,14:00,19:40,Etihad Airways
6E - 2988,Bengaluru,16:55,19:45,IndiGo
AI - 9610,Dehra Dun,18:45,19:45,Air India
CD - 610,Dehra Dun,18:45,19:45,Alliance Air
6E - 185,Lucknow,18:25,19:45,IndiGo
SG - 196,Bagdogra,17:35,19:45,SpiceJet
AI - 503,Bengaluru,17:00,19:50,Air India
AC - 6417,Bengaluru,17:00,19:50,Air Canada
ET - 1223,Bengaluru,17:00,19:50,Ethiopian Airlines
AI - 701,Kolkata,17:30,19:50,Air India
ET - 1138,Kolkata,17:30,19:50,Ethiopian Airlines
TK - 8385,Kolkata,17:30,19:50,Turkish Airlines
TK - 8379,Bengaluru,17:00,19:50,Turkish Airlines
AI - 539,Chennai,17:00,19:50,Air India
ET - 1159,Chennai,17:00,19:50,Ethiopian Airlines
TK - 8377,Chennai,17:00,19:50,Turkish Airlines
G8 - 175,Lucknow,18:35,19:55,GoAir
UK* - 638,Chandigarh,18:50,19:55,Vistara
MI - 5219,Hyderabad,17:40,20:00,SilkAir
UK* - 834,Chennai,17:10,20:00,Vistara
JL - 5198,Chennai,17:10,20:00,JAL
MI - 5244,Chennai,17:10,20:00,SilkAir
SQ - 4772,Chennai,17:10,20:00,Singapore Airlines
6E - 956,Mumbai,17:45,20:00,IndiGo
BA - 5876,Hyderabad,17:40,20:00,British Airways
UK* - 890,Hyderabad,17:40,20:00,Vistara
SQ - 4738,Hyderabad,17:40,20:00,Singapore Airlines
6E - 6635,Varanasi,18:30,20:05,IndiGo
6E - 2907,Chennai,17:05,20:05,IndiGo
SQ - 406,Singapore,16:50,20:10,Singapore Airlines
G8 - 285,Goa,17:25,20:10,GoAir
NH - 6286,Singapore,16:50,20:10,ANA
VA - 5696,Singapore,16:50,20:10,Virgin Australia
AI - 115,Amritsar,19:10,20:15,Air India
TK - 8387,Amritsar,19:10,20:15,Turkish Airlines
I5* - 732,Pune,17:55,20:15,AirAsia India
SG - 254,Kolkata,18:00,20:20,SpiceJet
AI - 484,Raipur,18:50,20:25,Air India
6E - 2329,Lucknow,19:10,20:25,IndiGo
6E - 724,Goa,17:45,20:25,IndiGo
EK - 514,Dubai,15:10,20:25,Emirates
AI - 11,Ahmedabad,18:50,20:30,Air India
6E - 2034,Bengaluru,17:50,20:30,IndiGo
TK - 8483,Ahmedabad,18:50,20:30,Turkish Airlines
SG - 2328,Dehra Dun,19:30,20:30,SpiceJet
AI - 660,Mumbai,18:00,20:30,Air India
AC - 6411,Ahmedabad,18:50,20:30,Air Canada
ET - 1228,Ahmedabad,18:50,20:30,Ethiopian Airlines
6E - 595,Hyderabad,18:15,20:35,IndiGo
G8 - 339,Mumbai,18:20,20:35,GoAir
6E - 1702,Doha,14:15,20:35,IndiGo
6E - 665,Jaipur,19:35,20:40,IndiGo
6E - 2894,Bagdogra,18:25,20:40,IndiGo
G8 - 718,Ahmedabad,18:55,20:40,GoAir
SQ - 4750,Mumbai,18:30,20:40,Singapore Airlines
UK* - 996,Mumbai,18:30,20:40,Vistara
AI - 9618,Jabalpur,18:45,20:45,Air India
CD - 618,Jabalpur,18:45,20:45,Alliance Air
6E - 2299,Udaipur,19:15,20:45,IndiGo
GF - 134,Bahrain,14:30,20:50,Gulf Air
6E - 2023,Bhopal,19:25,20:50,IndiGo
AI - 416,Patna,19:00,20:55,Air India
SG - 158,Mumbai,18:45,20:55,SpiceJet
TG - 315,Bangkok,17:55,20:55,Thai Airways International
UL - 3618,Patna,19:00,20:55,SriLankan Airlines
NH - 5943,Bangkok,17:55,20:55,ANA
6E - 2783,Bengaluru,18:15,21:00,IndiGo
6E - 2314,Bhubaneswar,18:40,21:00,IndiGo
MXD - 205,Kuala Lumpur,18:00,21:05,Malindo Air
6E - 439,Mumbai,18:55,21:05,IndiGo
6E - 6325,Patna,19:15,21:05,IndiGo
AI - 850,Pune,18:50,21:05,Air India
AI - 428,Varanasi,19:20,21:10,Air India
6E - 2772,Vishakhapatnam,18:35,21:10,IndiGo
UL - 3615,Varanasi,19:20,21:10,SriLankan Airlines
AI - 9644,Jaipur,20:20,21:15,Air India
CD - 644,Jaipur,20:20,21:15,Alliance Air
AC - 6409,Mumbai,19:00,21:15,Air Canada
AI - 888,Mumbai,19:00,21:15,Air India
6E - 528,Pune,19:00,21:15,IndiGo
ET - 1085,Hong Kong,18:05,21:20,Ethiopian Airlines
AC - 6451,Hong Kong,18:05,21:20,Air Canada
HX - 1315,Hong Kong,18:05,21:20,Hong Kong Airlines
6E - 2029,Chennai,18:10,21:20,IndiGo
AI - 315,Hong Kong,18:05,21:20,Air India
TK - 8381,Hyderabad,19:05,21:25,Turkish Airlines
ET - 1221,Hyderabad,19:05,21:25,Ethiopian Airlines
AI - 840,Hyderabad,19:05,21:25,Air India
QF - 8243,Hong Kong,17:45,21:30,Qantas
6E - 6386,Goa,18:50,21:30,IndiGo
JL - 7909,Hong Kong,17:45,21:30,JAL
AA - 8886,Hong Kong,17:45,21:30,American Airlines
CX - 695,Hong Kong,17:45,21:30,Cathay Pacific
AI - 812,Lucknow,20:15,21:35,Air India
6E - 2454,Raipur,19:40,21:35,IndiGo
UL - 3611,Lucknow,20:15,21:35,SriLankan Airlines
6E - 991,Varanasi,20:05,21:40,IndiGo
6E - 898,Kolkata,19:10,21:40,IndiGo
6E - 2752,Chennai,18:55,21:40,IndiGo
JL - 5186,Mumbai,19:45,21:45,JAL
UK* - 940,Mumbai,19:45,21:45,Vistara
AI - 820,Vadodara,20:20,21:45,Air India
G8 - 2541,Pune,19:30,21:45,GoAir
6E - 706,Kochi,18:30,21:45,IndiGo
SQ - 4734,Mumbai,19:45,21:45,Singapore Airlines
G8 - 34,Male,17:20,21:50,GoAir
6E - 6684,Hyderabad,19:30,21:50,IndiGo
MH - 190,Kuala Lumpur,18:50,21:50,Malaysia Airlines
GA - 9427,Kuala Lumpur,18:50,21:50,Garuda Indonesia
JL - 7941,Kuala Lumpur,18:50,21:50,JAL
6E - 166,Ahmedabad,20:15,21:55,IndiGo
G8 - 150,Patna,20:05,21:55,GoAir
SG - 8145,Patna,20:25,21:55,SpiceJet
SG - 8912,Ahmedabad,20:30,21:55,SpiceJet
SQ - 4740,Ahmedabad,20:25,22:00,Singapore Airlines
BA - 5824,Ahmedabad,20:25,22:00,British Airways
UK* - 966,Ahmedabad,20:25,22:00,Vistara
AI - 310,Mumbai,19:45,22:00,Air India
UL - 3638,Guwahati,19:20,22:05,SriLankan Airlines
G8 - 148,Ranchi,20:10,22:05,GoAir
AI - 892,Guwahati,19:20,22:05,Air India
SG - 8638,Bhopal,20:45,22:10,SpiceJet
SG - 6902,Mumbai,20:20,22:10,SpiceJet
6E - 841,Mumbai,20:00,22:10,IndiGo
6E - 2808,Bengaluru,19:30,22:15,IndiGo
I5* - 793,Pune,20:10,22:15,AirAsia India
6E - 396,Coimbatore,19:10,22:15,IndiGo
SQ - 4758,Bengaluru,19:40,22:20,Singapore Airlines
UK* - 818,Bengaluru,19:40,22:20,Vistara
UK* - 798,Raipur,20:35,22:20,Vistara
BA - 5840,Bengaluru,19:40,22:20,British Airways
MI - 5228,Bengaluru,19:40,22:20,SilkAir
I5* - 727,Hyderabad,20:30,22:25,AirAsia India
UK* - 754,Ranchi,20:25,22:25,Vistara
6E - 2488,Vadodara,20:50,22:25,IndiGo
CZ - 359,Guangzhou,19:05,22:25,China Southern Airlines
6E - 6184,Ranchi,20:30,22:30,IndiGo
BA - 5890,Pune,20:20,22:30,British Airways
UK* - 992,Pune,20:20,22:30,Vistara
SG - 2420,Varanasi,20:50,22:35,SpiceJet
DL - 8650,Paris,10:35,22:35,Delta Air Lines
KL - 2368,Paris,10:35,22:35,KLM
AF - 226,Paris,10:35,22:35,Air France
SQ - 4728,Hyderabad,20:35,22:35,Singapore Airlines
UK* - 870,Hyderabad,20:35,22:35,Vistara
SQ - 4718,Kolkata,20:20,22:35,Singapore Airlines
MI - 5235,Kolkata,20:20,22:35,SilkAir
BA - 5862,Kolkata,20:20,22:35,British Airways
UK* - 708,Kolkata,20:20,22:35,Vistara
ET - 1225,Thiruvananthapuram,19:20,22:35,Ethiopian Airlines
AI - 264,Thiruvananthapuram,19:20,22:35,Air India
BA - 5878,Hyderabad,20:35,22:35,British Airways
MI - 5215,Hyderabad,20:35,22:35,SilkAir
AI - 926,Riyadh,15:45,22:40,Air India
UA - 8064,Toronto,22:10,22:40,United Airlines
G8 - 341,Mumbai,20:25,22:40,GoAir
AC - 42,Toronto,22:10,22:40,Air Canada
BA - 5832,Bhubaneswar,20:30,22:45,British Airways
ET - 1757,Kolkata,20:30,22:45,Ethiopian Airlines
UK* - 782,Bhubaneswar,20:30,22:45,Vistara
AC - 6413,Kolkata,20:30,22:45,Air Canada
6E - 2041,Patna,21:00,22:45,IndiGo
OZ - 6382,Kolkata,20:30,22:45,Asiana Airlines
TK - 8485,Kolkata,20:30,22:45,Turkish Airlines
AI - 23,Kolkata,20:30,22:45,Air India
SQ - 4704,Bhubaneswar,20:30,22:45,Singapore Airlines
6E - 402,Pune,20:30,22:50,IndiGo
6E - 2716,Bengaluru,20:00,22:50,IndiGo
UK* - 886,Kochi,19:40,22:55,Vistara
AI - 468,Vijayawada,20:40,22:55,Air India
MI - 5240,Kochi,19:40,22:55,SilkAir
SQ - 4780,Kochi,19:40,22:55,Singapore Airlines
SG - 8482,Surat Gujarat,20:55,22:55,SpiceJet
6E - 867,Indore,21:20,22:55,IndiGo
6E - 558,Guwahati,20:20,22:55,IndiGo
BA - 5868,Kochi,19:40,22:55,British Airways
SQ - 4744,Mumbai,20:55,23:00,Singapore Airlines
BA - 5852,Mumbai,20:55,23:00,British Airways
UK* - 988,Mumbai,20:55,23:00,Vistara
AI - 490,Surat Gujarat,21:25,23:05,Air India
I5* - 749,Indore,21:40,23:05,AirAsia India
AI - 101,Mumbai,21:00,23:10,Air India
MK - 8030,Mumbai,21:00,23:10,Air Mauritius
G8 - 172,Pune,20:55,23:10,GoAir
6E - 476,Kolkata,20:40,23:10,IndiGo
AI - 1127,Hyderabad,20:55,23:10,Air India
SG - 154,Mumbai,21:05,23:10,SpiceJet
AC - 9588,Munich,12:10,23:15,Air Canada
SK - 3596,Munich,12:10,23:15,SAS
UA - 9236,Munich,12:10,23:15,United Airlines
AI - 8762,Munich,12:10,23:15,Air India
LH - 762,Munich,12:10,23:15,Lufthansa
AC - 6400,London,09:45,23:20,Air Canada
SG - 264,Kolkata,20:45,23:20,SpiceJet
AI - 47,Kochi,20:15,23:20,Air India
G8 - 2520,Nagpur,21:25,23:20,GoAir
ET - 1077,Kochi,20:15,23:20,Ethiopian Airlines
OZ - 6384,Kochi,20:15,23:20,Asiana Airlines
6E - 2129,Surat Gujarat,21:30,23:20,IndiGo
AC - 6445,Kochi,20:15,23:20,Air Canada
AI - 162,London,09:45,23:20,Air India
AI - 438,Bhopal,22:00,23:25,Air India
6E - 248,Mumbai,21:10,23:25,IndiGo
9W - 233,Amsterdam,11:40,23:30,Jet Airways (India)
BA - 143,London,09:00,23:30,British Airways
KL - 3816,Amsterdam,11:40,23:30,KLM
AI - 7147,Seoul,18:00,23:30,Air India
G8 - 643,Mumbai,21:15,23:30,GoAir
OZ - 767,Seoul,18:00,23:30,Asiana Airlines
AI - 14,Ahmedabad,22:00,23:35,Air India
OZ - 6380,Ahmedabad,22:00,23:35,Asiana Airlines
AI - 474,Bhubaneswar,21:25,23:40,Air India
UL - 3623,Bhubaneswar,21:25,23:40,SriLankan Airlines
SG - 108,Chennai,20:45,23:40,SpiceJet
AI - 480,Amritsar,22:50,23:40,Air India
SG - 126,Hyderabad,21:25,23:45,SpiceJet
G8 - 118,Bengaluru,20:55,23:45,GoAir
NH - 827,Tokyo,17:55,23:45,ANA
6E - 728,Ahmedabad,22:00,23:45,IndiGo
BA - 5842,Bengaluru,21:00,23:50,British Airways
SQ - 4782,Bengaluru,21:00,23:50,Singapore Airlines
MI - 5208,Bengaluru,21:00,23:50,SilkAir
JL - 5194,Bengaluru,21:00,23:50,JAL
UK* - 814,Bengaluru,21:00,23:50,Vistara
SG - 8481,Patna,21:50,23:50,SpiceJet
TK - 8477,Chennai,21:05,23:55,Turkish Airlines
AI - 173,Bengaluru,21:05,23:55,Air India
MK - 8121,Bengaluru,21:05,23:55,Air Mauritius
AI - 43,Chennai,21:05,23:55,Air India
AC - 6429,Chennai,21:05,23:55,Air Canada
TK - 8479,Bengaluru,21:05,23:55,Turkish Airlines
ET - 1763,Chennai,21:05,23:55,Ethiopian Airlines
JL - 7933,Hong Kong,20:05,23:55,JAL
AA - 8947,Hong Kong,20:05,23:55,American Airlines
CX - 697,Hong Kong,20:05,23:55,Cathay Pacific
SU - 234,Moscow,13:05,23:55,Aeroflot
MK - 8131,Chennai,21:05,23:55,Air Mauritius
UA - 9810,Zurich,12:40,23:55,United Airlines
AI - 7704,Zurich,12:40,23:55,Air India
AC - 6826,Zurich,12:40,23:55,Air Canada
LX - 146,Zurich,12:40,23:55,SWISS
QF - 8251,Hong Kong,20:05,23:55,Qantas
